#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	tigrfam_acc	tigrfam_desc	Taxonomy
metaerg.pl|00014	NODE_1_length_141231_cov_51.1498	9400	10161	762	1	No	0	TIGR01528	"nicotinamide mononucleotide transporter PnuC"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici
metaerg.pl|00670	NODE_7_length_42270_cov_19.0982	33924	35390	1467	-1	No	0	TIGR01555	"phage-associated protein, HI1409 family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp000760615
metaerg.pl|00671	NODE_7_length_42270_cov_19.0982	35479	36924	1446	-1	No	0	TIGR01630	"phage uncharacterized protein, C-terminal domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus bombicola
metaerg.pl|00768	NODE_9_length_38080_cov_24.5071	19604	20170	567	1	No	0	TIGR01644	"phage baseplate assembly protein V"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Pseudogulbenkiania;s__Pseudogulbenkiania sp000527175
metaerg.pl|00831	NODE_11_length_31112_cov_13.1809	5187	11246	6060	1	No	0	TIGR02675	"tape measure domain"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia formatexigens
metaerg.pl|00883	NODE_12_length_30597_cov_11.657	13137	13634	498	1	No	0	TIGR01635	"phage virion morphogenesis protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Amorphaceae;g__Amorphus;s__Amorphus coralli
metaerg.pl|00894	NODE_12_length_30597_cov_11.657	20080	22524	2445	1	No	0	TIGR01760	"phage tail tape measure protein, TP901 family, core region"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A pseudogrignonense
metaerg.pl|00897	NODE_12_length_30597_cov_11.657	25043	25582	540	1	No	0	TIGR01644	"phage baseplate assembly protein V"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__GCA-2401155;s__GCA-2401155 sp002401155
metaerg.pl|00918	NODE_13_length_29836_cov_11.4496	10843	11916	1074	1	No	0	TIGR00675	"DNA (cytosine-5-)-methyltransferase"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella bombi
metaerg.pl|00937	NODE_14_length_29130_cov_105.403	4284	5237	954	-1	No	0	TIGR00212	"hydroxymethylbilane synthase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00941	NODE_14_length_29130_cov_105.403	8365	9435	1071	-1	No	0	TIGR00331	"heat-inducible transcription repressor HrcA"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00942	NODE_14_length_29130_cov_105.403	9542	10261	720	1	No	0	TIGR01966	"ribonuclease PH"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00944	NODE_14_length_29130_cov_105.403	10917	12080	1164	1	No	0	TIGR00539	"putative oxygen-independent coproporphyrinogen III oxidase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00947	NODE_14_length_29130_cov_105.403	14902	15894	993	1	No	0	TIGR00557	"4-hydroxythreonine-4-phosphate dehydrogenase PdxA"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00953	NODE_14_length_29130_cov_105.403	22579	23499	921	1	No	0	TIGR00761	"acetylglutamate kinase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00954	NODE_14_length_29130_cov_105.403	23496	24173	678	1	No	0	TIGR01509	"HAD hydrolase, family IA, variant 3"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00954	NODE_14_length_29130_cov_105.403	23496	24173	678	1	No	0	TIGR01993	"pyrimidine 5'-nucleotidase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00957	NODE_14_length_29130_cov_105.403	25414	27219	1806	1	No	0	TIGR00231	"small GTP-binding protein domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00957	NODE_14_length_29130_cov_105.403	25414	27219	1806	1	No	0	TIGR01393	"elongation factor 4"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00958	NODE_14_length_29130_cov_105.403	27974	28822	849	-1	No	0	TIGR00965	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00968	NODE_15_length_26706_cov_26.1813	5056	6267	1212	1	No	0	TIGR00127	"isocitrate dehydrogenase, NADP-dependent"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00970	NODE_15_length_26706_cov_26.1813	7862	8827	966	-1	No	0	TIGR00380	"cobalamin biosynthesis protein CobD"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00972	NODE_15_length_26706_cov_26.1813	10247	11551	1305	-1	No	0	TIGR00379	"cobyrinic acid a,c-diamide synthase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae
metaerg.pl|00973	NODE_15_length_26706_cov_26.1813	11569	12363	795	-1	No	0	TIGR01469	"uroporphyrinogen-III C-methyltransferase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00974	NODE_15_length_26706_cov_26.1813	12502	13605	1104	1	No	0	TIGR00312	"cobalamin biosynthesis protein CbiD"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae
metaerg.pl|00976	NODE_15_length_26706_cov_26.1813	14327	15058	732	-1	No	0	TIGR01465	"precorrin-4 C11-methyltransferase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00981	NODE_15_length_26706_cov_26.1813	17236	17862	627	-1	No	0	TIGR00708	"cob(I)yrinic acid a,c-diamide adenosyltransferase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00982	NODE_15_length_26706_cov_26.1813	17862	21590	3729	-1	No	0	TIGR02257	"cobaltochelatase, CobN subunit"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00983	NODE_15_length_26706_cov_26.1813	21590	22657	1068	-1	No	0	TIGR02475	"cobalamin biosynthesis protein CobW"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00985	NODE_15_length_26706_cov_26.1813	23439	24878	1440	-1	No	0	TIGR00313	"cobyric acid synthase CobQ"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00986	NODE_15_length_26706_cov_26.1813	25282	26268	987	-1	No	0	TIGR03558	"luciferase family oxidoreductase, group 1"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00987	NODE_15_length_26706_cov_26.1813	26331	26705	375	-1	No	0	TIGR00449	"tRNA-guanine family transglycosylase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A sp002278035
metaerg.pl|01005	NODE_16_length_26477_cov_324.854	9350	9763	414	1	No	0	TIGR00621	"single-stranded DNA-binding protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedimonadales;f__Caedimonadaceae;g__Caedimonas;s__Caedimonas varicaedens
metaerg.pl|01011	NODE_16_length_26477_cov_324.854	12768	14066	1299	1	No	0	TIGR01547	"phage terminase, large subunit, PBSX family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter intestini
metaerg.pl|01031	NODE_17_length_25068_cov_6.28501	1639	2892	1254	1	No	0	TIGR02283	"lytic murein transglycosylase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01033	NODE_17_length_25068_cov_6.28501	4062	4982	921	-1	No	0	TIGR00676	"methylenetetrahydrofolate reductase [NAD(P)H]"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01038	NODE_17_length_25068_cov_6.28501	9271	10920	1650	-1	No	0	TIGR01189	"heme ABC exporter, ATP-binding protein CcmA"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01038	NODE_17_length_25068_cov_6.28501	9271	10920	1650	-1	No	0	TIGR03719	"ATP-binding cassette protein, ChvD family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01043	NODE_17_length_25068_cov_6.28501	15825	17123	1299	-1	No	0	TIGR03026	"nucleotide sugar dehydrogenase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|01060	NODE_18_length_24615_cov_403.483	3558	6425	2868	1	No	0	TIGR02675	"tape measure domain"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris
metaerg.pl|01124	NODE_20_length_23920_cov_55.2592	2	1285	1284	-1	No	0	TIGR01537	"phage portal protein, HK97 family"	unknow
metaerg.pl|01125	NODE_20_length_23920_cov_55.2592	1438	1761	324	1	No	0	TIGR01560	"uncharacterized phage protein (possible DNA packaging)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_B
metaerg.pl|01126	NODE_20_length_23920_cov_55.2592	1758	2168	411	1	No	0	TIGR01563	"putative phage head-tail adaptor"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_B
metaerg.pl|01132	NODE_20_length_23920_cov_55.2592	5667	7574	1908	1	No	0	TIGR01760	"phage tail tape measure protein, TP901 family, core region"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_B
metaerg.pl|01135	NODE_20_length_23920_cov_55.2592	9978	10514	537	1	No	0	TIGR01644	"phage baseplate assembly protein V"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_B
metaerg.pl|01163	NODE_21_length_23913_cov_234.728	3598	6465	2868	1	No	0	TIGR02675	"tape measure domain"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris
metaerg.pl|01185	NODE_21_length_23913_cov_234.728	18496	18861	366	1	No	0	TIGR00621	"single-stranded DNA-binding protein"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia radingae
metaerg.pl|01210	NODE_22_length_22363_cov_9.64521	7380	10604	3225	-1	No	0	TIGR01760	"phage tail tape measure protein, TP901 family, core region"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01212	NODE_22_length_22363_cov_9.64521	11115	11627	513	-1	No	0	TIGR01611	"phage major tail tube protein"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01216	NODE_22_length_22363_cov_9.64521	15260	15859	600	-1	No	0	TIGR01634	"phage tail protein I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01219	NODE_22_length_22363_cov_9.64521	17098	17736	639	-1	No	0	TIGR01644	"phage baseplate assembly protein V"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01220	NODE_22_length_22363_cov_9.64521	17797	18258	462	-1	No	0	TIGR01635	"phage virion morphogenesis protein"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01233	NODE_23_length_21946_cov_37.5426	1848	2753	906	1	No	0	TIGR00675	"DNA (cytosine-5-)-methyltransferase"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_I
metaerg.pl|01236	NODE_23_length_21946_cov_37.5426	3528	3728	201	1	No	0	TIGR03655	"restriction alleviation protein, Lar family"	unknow
metaerg.pl|01247	NODE_23_length_21946_cov_37.5426	14167	14868	702	-1	No	0	TIGR01600	"phage minor tail protein L"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella mensalis
metaerg.pl|01250	NODE_23_length_21946_cov_37.5426	15671	18955	3285	-1	No	0	TIGR02675	"tape measure domain"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_K
metaerg.pl|01255	NODE_23_length_21946_cov_37.5426	20551	20976	426	-1	No	0	TIGR01725	"phage protein, HK97 gp10 family"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella mensalis
metaerg.pl|01256	NODE_23_length_21946_cov_37.5426	20969	21292	324	-1	No	0	TIGR01563	"putative phage head-tail adaptor"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella bombi
metaerg.pl|01301	NODE_25_length_20603_cov_15.4839	7879	9735	1857	-1	No	0	TIGR01665	"phage minor structural protein, N-terminal region"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris
metaerg.pl|01302	NODE_25_length_20603_cov_15.4839	9732	10541	810	-1	No	0	TIGR01633	"putative phage tail component, N-terminal domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris
metaerg.pl|01303	NODE_25_length_20603_cov_15.4839	10541	13834	3294	-1	No	0	TIGR01760	"phage tail tape measure protein, TP901 family, core region"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris
metaerg.pl|01306	NODE_25_length_20603_cov_15.4839	14638	15249	612	-1	No	0	TIGR02126	"phage major tail protein, TP901-1 family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris
metaerg.pl|01308	NODE_25_length_20603_cov_15.4839	15649	16029	381	-1	No	0	TIGR01725	"phage protein, HK97 gp10 family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris
metaerg.pl|01321	NODE_26_length_20122_cov_16.4895	4091	4723	633	-1	No	0	TIGR01644	"phage baseplate assembly protein V"	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Sporomusales;f__Sporomusaceae;g__Sporomusa;s__Sporomusa sphaeroides
metaerg.pl|01336	NODE_26_length_20122_cov_16.4895	16307	17908	1602	-1	No	0	TIGR01539	"phage portal protein, lambda family"	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Carboxydothermales;f__Carboxydothermaceae;g__Carboxydothermus;s__Carboxydothermus pertinax
metaerg.pl|01339	NODE_27_length_20007_cov_7.67748	387	887	501	-1	No	0	TIGR00621	"single-stranded DNA-binding protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01340	NODE_27_length_20007_cov_7.67748	1149	4061	2913	1	No	0	TIGR00630	"excinuclease ABC subunit A"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01342	NODE_27_length_20007_cov_7.67748	5656	7203	1548	-1	No	0	TIGR00196	"YjeF family C-terminal domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01342	NODE_27_length_20007_cov_7.67748	5656	7203	1548	-1	No	0	TIGR00197	"YjeF family N-terminal domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01344	NODE_27_length_20007_cov_7.67748	7822	9231	1410	1	No	0	TIGR00653	"glutamine synthetase, type I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01346	NODE_27_length_20007_cov_7.67748	10055	10480	426	-1	No	0	TIGR03561	"peroxiredoxin, Ohr subfamily"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|01348	NODE_27_length_20007_cov_7.67748	11371	12045	675	-1	No	0	TIGR01509	"HAD hydrolase, family IA, variant 3"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01348	NODE_27_length_20007_cov_7.67748	11371	12045	675	-1	No	0	TIGR01549	"HAD hydrolase, family IA, variant 1"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01348	NODE_27_length_20007_cov_7.67748	11371	12045	675	-1	No	0	TIGR01662	"HAD hydrolase, family IIIA"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01349	NODE_27_length_20007_cov_7.67748	12045	13028	984	-1	No	0	TIGR00005	"pseudouridine synthase, RluA family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01350	NODE_27_length_20007_cov_7.67748	13230	15068	1839	1	No	0	TIGR01192	"glucan exporter ATP-binding protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01351	NODE_27_length_20007_cov_7.67748	15383	18049	2667	-1	No	0	TIGR00344	"alanine--tRNA ligase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01352	NODE_27_length_20007_cov_7.67748	18334	19416	1083	-1	No	0	TIGR02012	"protein RecA"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|01373	NODE_28_length_19890_cov_7.09115	17773	18003	231	-1	No	0	TIGR03655	"restriction alleviation protein, Lar family"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_L
metaerg.pl|01385	NODE_29_length_19754_cov_9.27773	4929	5942	1014	-1	No	0	TIGR02817	"zinc-binding alcohol dehydrogenase family protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01389	NODE_29_length_19754_cov_9.27773	11707	12108	402	-1	No	0	TIGR00168	"translation initiation factor IF-3"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|01392	NODE_29_length_19754_cov_9.27773	14877	15551	675	-1	No	0	TIGR04306	"thiaminase II"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae
metaerg.pl|01394	NODE_29_length_19754_cov_9.27773	17333	18496	1164	-1	No	0	TIGR01891	"amidohydrolase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
