#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct
PWY-5509	"Adenosylcobamide-Biosynthesis;"	"adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I;"	2.4.2.21+2.5.1.17+2.7.8.26+6.3.1.10+6.3.5.10	7	5	7	0.04
AMMASSIM-PWY	"Ammonia-Assimilation; Super-Pathways;"	"ammonia assimilation cycle III;"	1.4.1.13+6.3.1.2	2	2	16	0.09
PWY-6344	"MISCELLANEOUS-DEG;"	"L-ornithine degradation II (Stickland reaction);"	1.5.1.2+5.1.1.12	7	2	2	0.01
PWY-5705	"Allantoin-degradation; Super-Pathways;"	"allantoin degradation to glyoxylate III;"	3.5.2.5+3.5.3.9+4.3.2.3	4	3	3	0.02
PWY-882	"Ascorbate-Biosynthesis;"	"L-ascorbate biosynthesis I (L-galactose pathway);"	1.1.1.-+2.7.7.-+2.7.7.13+3.1.3.-+5.3.1.8+5.4.2.8	8	6	93	0.51
PWY-6465	""	""	1.14.14.-	2	1	1	0.01
PWY-6530	"ANAEROBIC-RESPIRATION;"	"perchlorate reduction;"	1.97.1.-	2	1	2	0.01
LACTOSECAT-PWY	"GALACTOSE-DEGRADATION; LACTOSE-DEG;"	"lactose and galactose degradation I;"	2.7.1.144+4.1.2.40	4	2	5	0.03
PWY-2301	"Cyclitols-Biosynthesis;"	"<i>myo</i>-inositol biosynthesis;"	3.1.3.25	2	1	2	0.01
PWY-3221	""	""	4.2.1.46	1	1	2	0.01
PWY-6126	"Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;"	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;"	1.17.4.1+2.7.4.3+2.7.4.6+3.6.3.14+4.3.2.2+6.3.4.4	7	6	36	0.20
PUTDEG-PWY	"Putrescine-Degradation;"	"putrescine degradation I;"	2.6.1.82	2	1	1	0.01
BIOTIN-BIOSYNTHESIS-PWY	"BIOTIN-SYN; Super-Pathways;"	"biotin biosynthesis I;"	1.1.1.100+2.1.1.-+2.3.1.180+2.3.1.41+2.3.1.47+2.6.1.62+2.8.1.6+3.1.1.-+4.2.1.59	11	9	41	0.23
PWY0-1312	"Acetate-Formation;"	"acetate and ATP formation from acetyl-CoA I;"	2.3.1.8+2.7.2.1	2	2	5	0.03
PWY-5686	"UMP-Biosynthesis;"	"UMP biosynthesis I;"	2.1.3.2+2.4.2.10+3.5.2.3+4.1.1.23+6.3.5.5	6	5	20	0.11
PWY0-1355	"ANAEROBIC-RESPIRATION; Electron-Transfer;"	"formate to trimethylamine <i>N</i>-oxide electron transfer;"	1.7.2.3	2	1	3	0.02
PWY-6494	"GIBBERELLINS-DEGRADATION; Gibberellin-Inactivation; Metabolic-Clusters;"	"gibberellin inactivation III (epoxidation);"	1.14.-.-	1	1	3	0.02
PWY-5473	"N-CONTAINING-SECONDARY-CMPD-SYN;"	"hydroxycinnamic acid serotonin amides biosynthesis;"	1.14.13.-	2	1	5	0.03
PWY-5286	"ANTHOCYANIN-SYN; Metabolic-Clusters;"	"anthocyanidin sophoroside metabolism;"	2.4.1.-	1	1	12	0.07
P341-PWY	"GLYCOLYSIS-VARIANTS;"	"glycolysis V (Pyrococcus);"	2.7.1.40+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	9	5	27	0.15
ASPARAGINE-BIOSYNTHESIS	"ASPARAGINE-SYN;"	"L-asparagine biosynthesis I;"	6.3.5.4	1	1	1	0.01
PWY-5672	"TRITERPENOID-SYN;"	"ginsenosides biosynthesis;"	2.4.1.-+5.4.99.-	3	2	17	0.09
ALANINE-VALINESYN-PWY	"ALANINE-SYN;"	"L-alanine biosynthesis I;"	2.6.1.42+5.1.1.1	3	2	6	0.03
PWY-5278	"Sulfite-Oxidation;"	"sulfite oxidation III;"	2.7.7.4	2	1	1	0.01
PWY-5839	"Menaquinone-Biosynthesis;"	"menaquinol-7 biosynthesis;"	2.1.1.163+2.5.1.74	2	2	5	0.03
PWY-701	"METHIONINE-DEG;"	"L-methionine degradation II;"	4.4.1.11	1	1	1	0.01
PWY-5673	""	""	1.7.5.1	2	1	11	0.06
PWY-6499	"D-Glucarate-Degradation;"	"D-glucarate degradation II;"	1.2.1.26+4.2.1.40	3	2	4	0.02
PWY-5129	"Sphingolipid-Biosynthesis;"	"sphingolipid biosynthesis (plants);"	1.14.-.-+2.3.1.-+2.4.1.-+2.4.1.80	8	4	29	0.16
BRANCHED-CHAIN-AA-SYN-PWY	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of branched chain amino acid biosynthesis;"	1.1.1.85+1.1.1.86+2.2.1.6+2.3.3.13+2.6.1.42+4.2.1.33+4.2.1.9+4.3.1.19	8	8	38	0.21
PWY66-162	"Ethanol-Degradation;"	"ethanol degradation IV;"	1.2.1.3+6.2.1.1	3	2	3	0.02
ORNARGDEG-PWY	"ARGININE-DEG; Super-Pathways;"	"superpathway of L-arginine and L-ornithine degradation;"	1.2.1.-+2.6.1.82+4.1.1.17	10	3	7	0.04
PWY-5338	"Cyclitols-Biosynthesis;"	"galactosylcyclitol biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-5080	"Fatty-acid-biosynthesis;"	"very long chain fatty acid biosynthesis I;"	1.1.1.36+2.3.1.-	4	2	14	0.08
PWY-6142	"Gluconeogenesis; Super-Pathways;"	"gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>);"	1.5.1.5+2.1.1.-+2.7.1.40+3.5.4.9+4.1.2.13+4.2.1.1+4.2.1.11+5.3.1.1+5.3.1.9+6.3.4.3+6.4.1.1	18	11	65	0.36
PWY-6523	"Denitrification; Methane-Oxidation;"	"nitrite-dependent anaerobic methane oxidation;"	1.7.2.1	1	1	1	0.01
PWY-5966	"Fatty-acid-biosynthesis;"	"fatty acid biosynthesis initiation II;"	2.3.1.41	2	1	4	0.02
PWY0-1301	"Sugars-And-Polysaccharides-Degradation;"	"melibiose degradation;"	3.2.1.22	1	1	3	0.02
PWY-2021	"Indole-3-Acetate-Inactivation;"	"indole-3-acetate inactivation IV;"	2.4.1.-	2	1	12	0.07
MET-SAM-PWY	"Super-Pathways;"	"superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis;"	1.1.1.3+1.2.1.11+2.1.1.13+2.1.1.14+2.3.1.46+2.5.1.6+2.7.2.4	9	7	25	0.14
PWY-6411	"Ginsenoside-Degradation;"	"ginsenoside degradation I;"	2.3.1.-	1	1	13	0.07
GLYCOLYSIS-E-D	"Energy-Metabolism; Super-Pathways;"	"superpathway of glycolysis and the Entner-Doudoroff pathway;"	1.1.1.49+1.2.1.12+2.7.1.11+2.7.1.40+2.7.2.3+2.7.9.2+3.1.1.31+3.1.3.11+4.1.2.13+4.1.2.14+4.2.1.11+4.2.1.12+5.3.1.1+5.3.1.9	15	14	47	0.26
PWY-5284	"ANTHOCYANIN-SYN;"	"shisonin biosynthesis;"	2.3.1.-+2.4.1.-	3	2	25	0.14
PWY-6028	"Carbohydrates-Degradation;"	"acetoin degradation;"	1.1.1.1	2	1	9	0.05
PWY-6012	"Cofactor-Biosynthesis; Interconversion;"	"acyl carrier protein metabolism;"	2.7.8.7+3.1.4.14	2	2	3	0.02
PYRIDOXSYN-PWY	"Vitamin-B6-Biosynthesis;"	"pyridoxal 5'-phosphate biosynthesis I;"	1.1.1.262+2.2.1.7+2.6.1.52+2.6.99.2	7	4	13	0.07
PWY-5516	"Xylose-Degradation;"	"D-xylose degradation II;"	1.1.1.-	1	1	12	0.07
PWY-4021	"Betaine-Biosynthesis; MISCELLANEOUS-DEG;"	"&beta;-alanine betaine biosynthesis;"	2.1.1.-	2	1	26	0.14
PWY-6575	"HORMONE-SYN; JH-III-Biosynthesis;"	"juvenile hormone III biosynthesis I;"	1.1.1.-+1.14.14.-+1.2.1.3+2.1.1.-	5	4	40	0.22
PYRUVOX-PWY	""	""	1.2.5.1	1	1	1	0.01
PWY-5759	"TRITERPENOID-SYN;"	"saponin biosynthesis III;"	2.4.1.-	1	1	12	0.07
PWY-6565	"Polyamine-Biosynthesis; Super-Pathways;"	"superpathway of polyamine biosynthesis III;"	1.2.1.11+1.5.1.-+2.7.2.4	5	3	6	0.03
PWY-5981	"CDP-diacylglycerol-Biosynthesis;"	"CDP-diacylglycerol biosynthesis III;"	1.1.1.94+2.3.1.-+2.7.7.41	4	3	18	0.10
PWY-5793	"FLAVONE-SYN;"	"maysin biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-6165	"Chorismate-Biosynthesis; Super-Pathways;"	"chorismate biosynthesis II (archaea);"	1.1.1.25+2.5.1.19+2.7.1.71+4.2.1.10+4.2.3.5	6	5	14	0.08
P601-PWY	"Camphor-Degradation;"	"(+)-camphor degradation;"	1.1.1.1+1.14.13.-+6.2.1.-	4	3	15	0.08
PWY-3961	"Pantothenate-Biosynthesis;"	"phosphopantothenate biosynthesis II;"	6.3.2.1	2	1	3	0.02
PWY-6113	"Fatty-acid-biosynthesis; Super-Pathways;"	"superpathway of mycolate biosynthesis;"	1.-.-.-+1.1.1.100+1.3.1.9+2.1.1.-+2.1.1.79+2.3.1.-+2.3.1.179+2.3.1.180+2.3.1.39+2.3.1.41+3.6.3.-+4.2.1.-+4.2.1.59+6.4.1.2+6.4.1.3	23	15	138	0.76
PWY-6122	"AIR-Biosynthesis;"	"5-aminoimidazole ribonucleotide biosynthesis II;"	2.1.2.-+2.4.2.14+6.3.3.1+6.3.4.13+6.3.5.3	5	5	24	0.13
PWY0-1507	"BIOTIN-SYN;"	"biotin biosynthesis from 8-amino-7-oxononanoate I;"	2.6.1.62+2.8.1.6	3	2	4	0.02
PWY-5800	"SECONDARY-CELL-WALL;"	"xylan biosynthesis;"	2.4.1.-+2.4.2.-	3	2	17	0.09
PWY-6476	"Cofactor-Biosynthesis;"	"cytidylyl molybdenum cofactor biosynthesis;"	2.7.7.-	1	1	69	0.38
PWY-6432	"POLYKETIDE-SYN; Super-Pathways;"	"curcuminoid biosynthesis;"	2.3.1.-+6.2.1.-	3	2	14	0.08
P4-PWY	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I;"	1.1.1.3+1.2.1.11+2.1.1.13+2.1.1.14+2.3.1.117+2.3.1.46+2.6.1.1+2.7.1.39+2.7.2.4+3.5.1.18+4.1.1.20+4.2.3.1+5.1.1.7	18	13	49	0.27
PWY-699	"Brassinosteroid-Biosynthesis;"	"brassinosteroid biosynthesis I;"	1.14.-.-+1.14.13.-+1.3.99.-	5	3	10	0.05
ALANINE-DEG3-PWY	"ALANINE-DEG;"	"L-alanine degradation III;"	2.6.1.2	1	1	3	0.02
PWY-5257	"SUGAR-ALCOHOLS-DEG; Sugars-And-Polysaccharides-Degradation; Super-Pathways;"	"superpathway of pentose and pentitol degradation;"	1.1.1.-+1.1.1.11+1.1.1.9+1.2.1.26+2.7.1.16+2.7.1.17+4.2.1.43+5.1.3.1+5.1.3.4+5.3.1.4	24	10	28	0.15
NPGLUCAT-PWY	"Entner-Duodoroff-Pathways;"	"Entner-Doudoroff pathway II (non-phosphorylative);"	1.2.1.3+2.7.1.40+4.1.2.-+4.2.1.11+5.1.3.3	10	5	17	0.09
PWY-6386	"Acetylmuramoyl-Pentapeptide-Biosynthesis;"	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing);"	2.5.1.7+5.1.1.3+6.3.2.10+6.3.2.4+6.3.2.8+6.3.2.9	8	6	23	0.13
PWY-6168	"Flavin-Biosynthesis;"	"flavin biosynthesis III (fungi);"	2.5.1.78+2.5.1.9+3.5.4.25+4.1.99.12	8	4	7	0.04
METH-ACETATE-PWY	"METHANOGENESIS;"	"methanogenesis from acetate;"	2.1.1.-+2.3.1.8+2.7.2.1	3	3	31	0.17
THIOREDOX-PWY	"Reductants;"	"thioredoxin pathway;"	1.8.1.9	1	1	3	0.02
PWY-1186	"Other-Amino-Acid-Biosynthesis;"	"L-homomethionine biosynthesis;"	1.1.1.-+2.6.1.-	4	2	15	0.08
PWY-6468	""	""	1.14.14.-	1	1	1	0.01
PWY-5269	"Cardiolipin-Biosynthesis;"	"cardiolipin biosynthesis II;"	2.7.8.5+3.1.3.27	2	2	3	0.02
PWY-5661	"GDP-Sugar-Biosynthesis;"	"GDP-glucose biosynthesis;"	2.7.1.2+5.4.2.2	4	2	9	0.05
PWY-5466	"LIGNAN-SYN;"	"matairesinol biosynthesis;"	1.1.1.-+1.10.3.-+1.3.1.-	3	3	38	0.21
PWY0-162	"Pyrimid-Ribonucleot-De-Novo-Biosyn; Super-Pathways;"	"superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis;"	2.1.3.2+2.4.2.10+2.7.4.6+3.5.2.3+4.1.1.23+6.3.4.2+6.3.5.5	9	7	23	0.13
PWY-3722	"Betaine-Biosynthesis;"	"glycine betaine biosynthesis II (Gram-positive bacteria);"	1.1.1.1	2	1	9	0.05
PWY0-1319	"CDP-diacylglycerol-Biosynthesis;"	"CDP-diacylglycerol biosynthesis II;"	1.1.1.94+2.7.7.41	4	2	5	0.03
SALVPURINE2-PWY	"Purine-Nucleotides-Salvage;"	"xanthine and xanthosine salvage;"	2.4.2.1+2.4.2.22+2.4.2.8	5	3	4	0.02
P122-PWY	"Fermentation-to-Lactate; Pyruvate-Ethanol-Fermentation;"	"heterolactic fermentation;"	1.1.1.1+1.1.1.27+1.1.1.28+1.1.1.49+1.2.1.10+1.2.1.12+2.3.1.8+2.7.1.2+2.7.1.4+2.7.1.40+2.7.2.3+3.1.1.31+4.2.1.11+5.1.3.1+5.3.1.9	18	15	51	0.28
VALSYN-PWY	"VALINE-BIOSYNTHESIS;"	"L-valine biosynthesis;"	1.1.1.86+2.2.1.6+2.6.1.42+4.2.1.9	4	4	21	0.12
P303-PWY	"ANAEROBIC-RESPIRATION; Ammonia-oxidation; CHEMOAUTOTROPHIC-ENERGY-METABOLISM;"	"ammonia oxidation II (anaerobic);"	1.7.2.1	2	1	1	0.01
PWY-5140	"TERPENOPHENOLICS-SYN;"	"cannabinoid biosynthesis;"	1.3.-.-+2.3.1.-+2.5.1.-	4	3	27	0.15
CITRULLINE-DEG-PWY	"MISCELLANEOUS-DEG;"	"L-citrulline degradation;"	2.1.3.3	2	1	1	0.01
PWY-5196	"Cofactor-Biosynthesis;"	"factor 430 biosynthesis;"	2.1.1.107	1	1	4	0.02
PWY-6454	"Cell-Wall-Biosynthesis; Vancomycin-Resistnace;"	"vancomycin resistance I;"	1.1.1.28	3	1	2	0.01
COBALSYN-PWY	"B12-Salvage-From-Cobinamide; Super-Pathways;"	"superpathway of adenosylcobalamin salvage from cobinamide I;"	2.4.2.21+2.5.1.17+2.7.1.156+2.7.8.26	6	4	6	0.03
PWY-5704	"Urea-Degradation;"	"urea degradation II;"	3.5.1.5	1	1	5	0.03
GALACTARDEG-PWY	"D-Galactarate-Degradation;"	"D-galactarate degradation I;"	1.1.1.60+4.1.2.20+4.2.1.42	4	3	5	0.03
PWY-5690	"TCA-VARIANTS;"	"TCA cycle II (plants and fungi);"	1.1.1.41+1.3.5.1+2.3.3.1+4.2.1.2+4.2.1.3+6.2.1.5	7	6	20	0.11
PWY-5004	"Citrulline-Biosynthesis; Super-Pathways;"	"superpathway of L-citrulline metabolism;"	1.14.13.39+1.2.1.41+2.1.3.3+2.7.2.11+4.3.2.1+6.3.4.5	11	6	21	0.12
PWY-5785	"Polyprenyl-Biosynthesis;"	"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis;"	2.5.1.31	1	1	2	0.01
