#GO_id	Name	Count	Count_pct
GO:0004521	"endoribonuclease activity"	10	0.05
GO:0009273	"peptidoglycan-based cell wall biogenesis"	1	0.01
GO:0009426	"bacterial-type flagellum basal body, distal rod"	1	0.01
GO:0019835	"cytolysis"	31	0.17
GO:0102483	"scopolin beta-glucosidase activity"	8	0.04
GO:0050243	"pyruvate dehydrogenase (NADP+) activity"	1	0.01
GO:0035999	"tetrahydrofolate interconversion"	13	0.07
GO:0016757	"transferase activity, transferring glycosyl groups"	39	0.21
GO:0006783	"heme biosynthetic process"	3	0.02
GO:0016709	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	6	0.03
GO:0042621	"poly(3-hydroxyalkanoate) biosynthetic process"	1	0.01
GO:0050626	"trimethylamine-N-oxide reductase (cytochrome c) activity"	3	0.02
GO:0004852	"uroporphyrinogen-III synthase activity"	4	0.02
GO:0008827	"cytochrome o ubiquinol oxidase activity"	8	0.04
GO:1990610	"acetolactate synthase regulator activity"	1	0.01
GO:0050518	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity"	2	0.01
GO:0008285	"negative regulation of cell proliferation"	2	0.01
GO:0008962	"phosphatidylglycerophosphatase activity"	2	0.01
GO:0004450	"isocitrate dehydrogenase (NADP+) activity"	2	0.01
GO:0004829	"threonine-tRNA ligase activity"	6	0.03
GO:0015721	"bile acid and bile salt transport"	1	0.01
GO:0015031	"protein transport"	37	0.20
GO:0008993	"rhamnulokinase activity"	1	0.01
GO:0043772	"acyl-phosphate glycerol-3-phosphate acyltransferase activity"	2	0.01
GO:0006531	"aspartate metabolic process"	4	0.02
GO:0015811	"L-cystine transport"	6	0.03
GO:0045275	"respiratory chain complex III"	5	0.03
GO:0097347	"TAM protein secretion complex"	1	0.01
GO:0006260	"DNA replication"	306	1.68
GO:0032259	"methylation"	2	0.01
GO:0016598	"protein arginylation"	3	0.02
GO:0006470	"protein dephosphorylation"	3	0.02
GO:0051920	"peroxiredoxin activity"	13	0.07
GO:0009740	"gibberellic acid mediated signaling pathway"	1	0.01
GO:0015230	"FAD transmembrane transporter activity"	1	0.01
GO:0004337	"geranyltranstransferase activity"	1	0.01
GO:0016773	"phosphotransferase activity, alcohol group as acceptor"	14	0.08
GO:0018315	"molybdenum incorporation into molybdenum-molybdopterin complex"	1	0.01
GO:0004367	"glycerol-3-phosphate dehydrogenase [NAD+] activity"	4	0.02
GO:0008295	"spermidine biosynthetic process"	4	0.02
GO:0008881	"glutamate racemase activity"	7	0.04
GO:0034470	"ncRNA processing"	4	0.02
GO:0015232	"heme transporter activity"	4	0.02
GO:1990830	"cellular response to leukemia inhibitory factor"	1	0.01
GO:0009346	"citrate lyase complex"	5	0.03
GO:0006825	"copper ion transport"	4	0.02
GO:0016791	"phosphatase activity"	5	0.03
GO:0046080	"dUTP metabolic process"	1	0.01
GO:0019284	"L-methionine salvage from S-adenosylmethionine"	3	0.02
GO:0000107	"imidazoleglycerol-phosphate synthase activity"	7	0.04
GO:0009809	"lignin biosynthetic process"	1	0.01
GO:0010312	"detoxification of zinc ion"	6	0.03
GO:0045004	"DNA replication proofreading"	1	0.01
GO:0015153	"rhamnose transmembrane transporter activity"	1	0.01
GO:0045203	"integral component of cell outer membrane"	1	0.01
GO:0030295	"protein kinase activator activity"	1	0.01
GO:0034599	"cellular response to oxidative stress"	2	0.01
GO:0045936	"negative regulation of phosphate metabolic process"	2	0.01
GO:0045227	"capsule polysaccharide biosynthetic process"	3	0.02
GO:0008828	"dATP pyrophosphohydrolase activity"	1	0.01
GO:0004355	"glutamate synthase (NADPH) activity"	13	0.07
GO:0019563	"glycerol catabolic process"	10	0.05
GO:0015693	"magnesium ion transport"	2	0.01
GO:0006486	"protein glycosylation"	3	0.02
GO:0015179	"L-amino acid transmembrane transporter activity"	1	0.01
GO:0005743	"mitochondrial inner membrane"	12	0.07
GO:0004520	"endodeoxyribonuclease activity"	5	0.03
GO:0097056	"selenocysteinyl-tRNA(Sec) biosynthetic process"	3	0.02
GO:0015078	"proton transmembrane transporter activity"	11	0.06
GO:0015937	"coenzyme A biosynthetic process"	7	0.04
GO:0004823	"leucine-tRNA ligase activity"	5	0.03
GO:0019899	"enzyme binding"	2	0.01
GO:0008556	"potassium-transporting ATPase activity"	3	0.02
GO:0009651	"response to salt stress"	1	0.01
GO:0005789	"endoplasmic reticulum membrane"	1	0.01
GO:0030178	"negative regulation of Wnt signaling pathway"	1	0.01
GO:0009658	"chloroplast organization"	1	0.01
GO:0070530	"K63-linked polyubiquitin modification-dependent protein binding"	2	0.01
GO:0004121	"cystathionine beta-lyase activity"	2	0.01
GO:0045337	"farnesyl diphosphate biosynthetic process"	1	0.01
GO:0015453	"oxidoreduction-driven active transmembrane transporter activity"	1	0.01
GO:0047688	"aspartate 4-decarboxylase activity"	4	0.02
GO:0008839	"4-hydroxy-tetrahydrodipicolinate reductase"	5	0.03
GO:0023014	"signal transduction by protein phosphorylation"	1	0.01
GO:0043596	"nuclear replication fork"	1	0.01
GO:0004494	"methylmalonyl-CoA mutase activity"	2	0.01
GO:0016813	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines"	4	0.02
GO:0030697	"S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity"	2	0.01
GO:0004664	"prephenate dehydratase activity"	5	0.03
GO:0004647	"phosphoserine phosphatase activity"	1	0.01
GO:0006106	"fumarate metabolic process"	3	0.02
GO:1904831	"positive regulation of aortic smooth muscle cell differentiation"	1	0.01
GO:0015094	"lead ion transmembrane transporter activity"	6	0.03
GO:0004817	"cysteine-tRNA ligase activity"	8	0.04
GO:0003755	"peptidyl-prolyl cis-trans isomerase activity"	13	0.07
GO:0006428	"isoleucyl-tRNA aminoacylation"	13	0.07
GO:0009294	"DNA mediated transformation"	6	0.03
GO:0016607	"nuclear speck"	1	0.01
GO:0008186	"RNA-dependent ATPase activity"	3	0.02
GO:0045053	"protein retention in Golgi apparatus"	1	0.01
GO:0080079	"cellobiose glucosidase activity"	1	0.01
GO:0004832	"valine-tRNA ligase activity"	11	0.06
GO:0042393	"histone binding"	1	0.01
GO:0009820	"alkaloid metabolic process"	1	0.01
GO:0046076	"dTTP catabolic process"	1	0.01
GO:0046496	"nicotinamide nucleotide metabolic process"	4	0.02
GO:0004777	"succinate-semialdehyde dehydrogenase (NAD+) activity"	7	0.04
GO:0008922	"long-chain fatty acid [acyl-carrier-protein] ligase activity"	1	0.01
GO:0050918	"positive chemotaxis"	2	0.01
GO:0034622	"cellular protein-containing complex assembly"	1	0.01
GO:0043175	"RNA polymerase core enzyme binding"	2	0.01
GO:0042732	"D-xylose metabolic process"	1	0.01
GO:0018160	"peptidyl-pyrromethane cofactor linkage"	4	0.02
GO:0006730	"one-carbon metabolic process"	14	0.08
GO:0046416	"D-amino acid metabolic process"	5	0.03
GO:0009486	"cytochrome bo3 ubiquinol oxidase activity"	2	0.01
GO:0019521	"D-gluconate metabolic process"	3	0.02
GO:0019499	"cyanide metabolic process"	1	0.01
GO:0019469	"octopine catabolic process"	1	0.01
GO:0015140	"malate transmembrane transporter activity"	2	0.01
GO:0008941	"nitric oxide dioxygenase activity"	6	0.03
GO:0008134	"transcription factor binding"	11	0.06
GO:0019569	"L-arabinose catabolic process to xylulose 5-phosphate"	6	0.03
GO:0003916	"DNA topoisomerase activity"	14	0.08
GO:0003883	"CTP synthase activity"	2	0.01
GO:0043412	"macromolecule modification"	1	0.01
GO:0008410	"CoA-transferase activity"	5	0.03
GO:0014069	"postsynaptic density"	1	0.01
GO:0102040	"fumarate reductase (menaquinone)"	2	0.01
GO:0016832	"aldehyde-lyase activity"	11	0.06
GO:0061710	"L-threonylcarbamoyladenylate synthase"	5	0.03
GO:0015412	"ATPase-coupled molybdate transmembrane transporter activity"	2	0.01
GO:0009939	"positive regulation of gibberellic acid mediated signaling pathway"	1	0.01
GO:0043752	"adenosylcobinamide kinase activity"	1	0.01
GO:0042941	"D-alanine transport"	3	0.02
GO:0004148	"dihydrolipoyl dehydrogenase activity"	8	0.04
GO:0009451	"RNA modification"	17	0.09
GO:0071465	"cellular response to desiccation"	1	0.01
GO:0015591	"D-ribose transmembrane transporter activity"	3	0.02
GO:0042128	"nitrate assimilation"	17	0.09
GO:0004499	"N,N-dimethylaniline monooxygenase activity"	2	0.01
GO:0006525	"arginine metabolic process"	3	0.02
GO:0004525	"ribonuclease III activity"	3	0.02
GO:0005096	"GTPase activator activity"	1	0.01
GO:0004021	"L-alanine:2-oxoglutarate aminotransferase activity"	3	0.02
GO:0047456	"2-methylisocitrate dehydratase activity"	9	0.05
GO:0016239	"positive regulation of macroautophagy"	1	0.01
GO:0000098	"sulfur amino acid catabolic process"	1	0.01
GO:0045948	"positive regulation of translational initiation"	3	0.02
GO:0005829	"cytosol"	206	1.13
GO:0034039	"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"	1	0.01
GO:0034605	"cellular response to heat"	9	0.05
GO:0019288	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"	13	0.07
GO:0046933	"proton-transporting ATP synthase activity, rotational mechanism"	32	0.18
GO:0042937	"tripeptide transmembrane transporter activity"	1	0.01
GO:0019277	"UDP-N-acetylgalactosamine biosynthetic process"	3	0.02
GO:0039695	"DNA-templated viral transcription"	2	0.01
GO:0050830	"defense response to Gram-positive bacterium"	1	0.01
GO:1990397	"queuosine salvage"	1	0.01
GO:0032265	"XMP salvage"	1	0.01
GO:0080083	"beta-gentiobiose beta-glucosidase activity"	1	0.01
GO:0003954	"NADH dehydrogenase activity"	1	0.01
GO:0015742	"alpha-ketoglutarate transport"	2	0.01
GO:0019877	"diaminopimelate biosynthetic process"	19	0.10
GO:0042135	"neurotransmitter catabolic process"	1	0.01
GO:0016631	"enoyl-[acyl-carrier-protein] reductase activity"	4	0.02
GO:0006352	"DNA-templated transcription, initiation"	15	0.08
GO:0006542	"glutamine biosynthetic process"	3	0.02
GO:0003857	"3-hydroxyacyl-CoA dehydrogenase activity"	2	0.01
GO:0015990	"electron transport coupled proton transport"	6	0.03
GO:0051409	"response to nitrosative stress"	5	0.03
GO:0044179	"hemolysis in other organism"	1	0.01
GO:0019478	"D-amino acid catabolic process"	1	0.01
GO:0009252	"peptidoglycan biosynthetic process"	88	0.48
GO:0004360	"glutamine-fructose-6-phosphate transaminase (isomerizing) activity"	5	0.03
GO:0033228	"cysteine export across plasma membrane"	1	0.01
GO:0003861	"3-isopropylmalate dehydratase activity"	3	0.02
GO:0004803	"transposase activity"	11	0.06
GO:0044799	"NarGHI complex"	7	0.04
GO:0008750	"NAD(P)+ transhydrogenase (AB-specific) activity"	3	0.02
GO:0097027	"ubiquitin-protein transferase activator activity"	1	0.01
GO:0019171	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity"	2	0.01
GO:0098003	"viral tail assembly"	76	0.42
GO:0006388	"tRNA splicing, via endonucleolytic cleavage and ligation"	1	0.01
GO:0009325	"nitrate reductase complex"	5	0.03
GO:0006474	"N-terminal protein amino acid acetylation"	1	0.01
GO:0035672	"oligopeptide transmembrane transport"	3	0.02
GO:0008234	"cysteine-type peptidase activity"	12	0.07
GO:0030788	"precorrin-2 C20-methyltransferase activity"	2	0.01
GO:0030245	"cellulose catabolic process"	1	0.01
GO:0031969	"chloroplast membrane"	1	0.01
GO:0047693	"ATP diphosphatase activity"	1	0.01
GO:0016075	"rRNA catabolic process"	3	0.02
GO:0003973	"(S)-2-hydroxy-acid oxidase activity"	1	0.01
GO:0019281	"L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine"	2	0.01
GO:0071704	"organic substance metabolic process"	1	0.01
GO:0006879	"cellular iron ion homeostasis"	4	0.02
GO:0009265	"2'-deoxyribonucleotide biosynthetic process"	1	0.01
GO:0050919	"negative chemotaxis"	1	0.01
GO:0016780	"phosphotransferase activity, for other substituted phosphate groups"	4	0.02
GO:0004672	"protein kinase activity"	10	0.05
GO:0015098	"molybdate ion transmembrane transporter activity"	1	0.01
GO:0006282	"regulation of DNA repair"	3	0.02
GO:0008768	"UDP-sugar diphosphatase activity"	4	0.02
GO:0022904	"respiratory electron transport chain"	11	0.06
GO:0015315	"organophosphate:inorganic phosphate antiporter activity"	1	0.01
GO:0006032	"chitin catabolic process"	4	0.02
GO:0005460	"UDP-glucose transmembrane transporter activity"	1	0.01
GO:0006824	"cobalt ion transport"	13	0.07
GO:0016539	"intein-mediated protein splicing"	9	0.05
GO:0006535	"cysteine biosynthetic process from serine"	5	0.03
GO:0070626	"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity"	3	0.02
GO:0015793	"glycerol transport"	1	0.01
GO:0008836	"diaminopimelate decarboxylase activity"	3	0.02
GO:0032357	"oxidized purine DNA binding"	1	0.01
GO:0003882	"CDP-diacylglycerol-serine O-phosphatidyltransferase activity"	3	0.02
GO:0045892	"negative regulation of transcription, DNA-templated"	44	0.24
GO:0061624	"fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate"	1	0.01
GO:0019168	"2-octaprenylphenol hydroxylase activity"	1	0.01
GO:0099018	"restriction-modification system evasion by virus"	10	0.05
GO:0032049	"cardiolipin biosynthetic process"	7	0.04
GO:0015079	"potassium ion transmembrane transporter activity"	10	0.05
GO:0061598	"molybdopterin adenylyltransferase activity"	1	0.01
GO:0006433	"prolyl-tRNA aminoacylation"	9	0.05
GO:0050797	"thymidylate synthase (FAD) activity"	4	0.02
GO:0008022	"protein C-terminus binding"	1	0.01
GO:0006047	"UDP-N-acetylglucosamine metabolic process"	1	0.01
GO:0000721	"(R,R)-butanediol dehydrogenase activity"	1	0.01
GO:0042255	"ribosome assembly"	3	0.02
GO:0061799	"cyclic pyranopterin monophosphate synthase activity"	2	0.01
GO:0019464	"glycine decarboxylation via glycine cleavage system"	6	0.03
GO:0098671	"adhesion receptor-mediated virion attachment to host cell"	1	0.01
GO:0030154	"cell differentiation"	2	0.01
GO:0051007	"squalene-hopene cyclase activity"	1	0.01
GO:0006974	"cellular response to DNA damage stimulus"	27	0.15
GO:0008173	"RNA methyltransferase activity"	14	0.08
GO:0003866	"3-phosphoshikimate 1-carboxyvinyltransferase activity"	3	0.02
GO:0050664	"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor"	1	0.01
GO:0009536	"plastid"	1	0.01
GO:0006655	"phosphatidylglycerol biosynthetic process"	3	0.02
GO:0047769	"arogenate dehydratase activity"	4	0.02
GO:0090483	"phosphatidylglycerol-phosphatidylethanolamine phosphatidyltransferase activity"	2	0.01
GO:0015183	"L-aspartate transmembrane transporter activity"	1	0.01
GO:0000257	"nitrilase activity"	1	0.01
GO:0052915	"23S rRNA (guanine(2445)-N(2))-methyltransferase activity"	1	0.01
GO:0008800	"beta-lactamase activity"	1	0.01
GO:0008767	"UDP-galactopyranose mutase activity"	1	0.01
GO:0001680	"tRNA 3'-terminal CCA addition"	3	0.02
GO:0008911	"lactaldehyde dehydrogenase activity"	2	0.01
GO:0006465	"signal peptide processing"	7	0.04
GO:0070008	"serine-type exopeptidase activity"	6	0.03
GO:0004751	"ribose-5-phosphate isomerase activity"	2	0.01
GO:0008795	"NAD+ synthase activity"	2	0.01
GO:0046487	"glyoxylate metabolic process"	1	0.01
GO:0033108	"mitochondrial respiratory chain complex assembly"	1	0.01
GO:0070011	"peptidase activity, acting on L-amino acid peptides"	7	0.04
GO:0016901	"oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor"	3	0.02
GO:0009295	"nucleoid"	19	0.10
GO:0008097	"5S rRNA binding"	2	0.01
GO:0044659	"cytolysis by virus of host cell"	10	0.05
GO:0022900	"electron transport chain"	7	0.04
GO:0006269	"DNA replication, synthesis of RNA primer"	19	0.10
GO:0019646	"aerobic electron transport chain"	8	0.04
GO:0009165	"nucleotide biosynthetic process"	2	0.01
GO:0022611	"dormancy process"	1	0.01
GO:0008764	"UDP-N-acetylmuramoylalanine-D-glutamate ligase activity"	5	0.03
GO:0070458	"cellular detoxification of nitrogen compound"	1	0.01
GO:0046140	"corrin biosynthetic process"	1	0.01
GO:0022869	"protein-N(PI)-phosphohistidine-lactose phosphotransferase system transporter activity"	1	0.01
GO:0019932	"second-messenger-mediated signaling"	2	0.01
GO:0008770	"[acyl-carrier-protein] phosphodiesterase activity"	1	0.01
GO:0004151	"dihydroorotase activity"	8	0.04
GO:0070395	"lipoteichoic acid biosynthetic process"	3	0.02
GO:0004015	"adenosylmethionine-8-amino-7-oxononanoate transaminase activity"	2	0.01
GO:0005813	"centrosome"	1	0.01
GO:0042945	"D-serine transmembrane transporter activity"	1	0.01
GO:0004156	"dihydropteroate synthase activity"	3	0.02
GO:0016407	"acetyltransferase activity"	1	0.01
GO:0045786	"negative regulation of cell cycle"	1	0.01
GO:0032993	"protein-DNA complex"	11	0.06
GO:0008094	"DNA-dependent ATPase activity"	10	0.05
GO:0008743	"L-threonine 3-dehydrogenase activity"	1	0.01
GO:0015616	"DNA translocase activity"	4	0.02
GO:0103117	"UDP-3-O-acyl-N-acetylglucosamine deacetylase activity"	5	0.03
GO:0008444	"CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity"	3	0.02
GO:0009409	"response to cold"	7	0.04
GO:0000821	"regulation of arginine metabolic process"	1	0.01
GO:0008657	"DNA topoisomerase (ATP-hydrolyzing) inhibitor activity"	2	0.01
GO:0004747	"ribokinase activity"	2	0.01
GO:0043171	"peptide catabolic process"	2	0.01
GO:0008460	"dTDP-glucose 4,6-dehydratase activity"	2	0.01
GO:0005975	"carbohydrate metabolic process"	125	0.69
GO:0019608	"nicotine catabolic process"	1	0.01
GO:0008565	"protein transporter activity"	1	0.01
GO:0008934	"inositol monophosphate 1-phosphatase activity"	4	0.02
GO:0033528	"S-methylmethionine cycle"	1	0.01
GO:0016743	"carboxyl- or carbamoyltransferase activity"	6	0.03
GO:0004309	"exopolyphosphatase activity"	2	0.01
GO:0004422	"hypoxanthine phosphoribosyltransferase activity"	1	0.01
GO:0047150	"betaine-homocysteine S-methyltransferase activity"	2	0.01
GO:0030234	"enzyme regulator activity"	2	0.01
GO:0047809	"D-2-hydroxy-acid dehydrogenase activity"	1	0.01
GO:0009279	"cell outer membrane"	66	0.36
GO:0003848	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity"	1	0.01
GO:0004488	"methylenetetrahydrofolate dehydrogenase (NADP+) activity"	3	0.02
GO:0006565	"L-serine catabolic process"	3	0.02
GO:1990002	"methylglyoxal reductase (NADPH-dependent, acetol producing)"	1	0.01
GO:0008859	"exoribonuclease II activity"	11	0.06
GO:0047451	"3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity"	1	0.01
GO:0015941	"pantothenate catabolic process"	3	0.02
GO:0043873	"pyruvate-flavodoxin oxidoreductase activity"	2	0.01
GO:0005452	"inorganic anion exchanger activity"	1	0.01
GO:0005654	"nucleoplasm"	4	0.02
GO:0046294	"formaldehyde catabolic process"	1	0.01
GO:0004089	"carbonate dehydratase activity"	5	0.03
GO:1901525	"negative regulation of mitophagy"	1	0.01
GO:0050017	"L-3-cyanoalanine synthase activity"	1	0.01
GO:0030256	"type I protein secretion system complex"	1	0.01
GO:0005737	"cytoplasm"	1083	5.96
GO:0005337	"nucleoside transmembrane transporter activity"	2	0.01
GO:0009255	"Entner-Doudoroff pathway through 6-phosphogluconate"	2	0.01
GO:0000160	"phosphorelay signal transduction system"	51	0.28
GO:0008872	"glucarate dehydratase activity"	2	0.01
GO:0042826	"histone deacetylase binding"	1	0.01
GO:1903714	"isoleucine transmembrane transport"	1	0.01
GO:0033384	"geranyl diphosphate biosynthetic process"	1	0.01
GO:0003884	"D-amino-acid oxidase activity"	4	0.02
GO:0004791	"thioredoxin-disulfide reductase activity"	4	0.02
GO:0048500	"signal recognition particle"	3	0.02
GO:0004739	"pyruvate dehydrogenase (acetyl-transferring) activity"	2	0.01
GO:0008026	"ATP-dependent helicase activity"	6	0.03
GO:0009117	"nucleotide metabolic process"	3	0.02
GO:0006419	"alanyl-tRNA aminoacylation"	6	0.03
GO:0019427	"acetyl-CoA biosynthetic process from acetate"	4	0.02
GO:0031234	"extrinsic component of cytoplasmic side of plasma membrane"	4	0.02
GO:0005740	"mitochondrial envelope"	1	0.01
GO:0003855	"3-dehydroquinate dehydratase activity"	2	0.01
GO:0006168	"adenine salvage"	1	0.01
GO:0071897	"DNA biosynthetic process"	14	0.08
GO:0071973	"bacterial-type flagellum-dependent cell motility"	15	0.08
GO:0005351	"carbohydrate:proton symporter activity"	12	0.07
GO:0032549	"ribonucleoside binding"	5	0.03
GO:0016618	"hydroxypyruvate reductase activity"	4	0.02
GO:0005198	"structural molecule activity"	83	0.46
GO:0015093	"ferrous iron transmembrane transporter activity"	2	0.01
GO:0019388	"galactose catabolic process"	1	0.01
GO:1990077	"primosome complex"	21	0.12
GO:0043022	"ribosome binding"	22	0.12
GO:0032414	"positive regulation of ion transmembrane transporter activity"	1	0.01
GO:0035725	"sodium ion transmembrane transport"	2	0.01
GO:0071281	"cellular response to iron ion"	10	0.05
GO:0008741	"ribulokinase activity"	2	0.01
GO:0015970	"guanosine tetraphosphate biosynthetic process"	12	0.07
GO:0009025	"tagatose-bisphosphate aldolase activity"	4	0.02
GO:0042246	"tissue regeneration"	1	0.01
GO:0019856	"pyrimidine nucleobase biosynthetic process"	1	0.01
GO:0004601	"peroxidase activity"	5	0.03
GO:0120159	"rRNA pseudouridine synthase activity"	5	0.03
GO:0004801	"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity"	2	0.01
