#Pathway_id	Name	KOs	total_family	total_family_found	Count	Count_pct
02010	"ABC transporters - General"	K01995+K01996+K01997+K01998+K01999+K02000+K02001+K02002+K02003+K02004+K02006+K02008+K02010+K02013+K02015+K02016+K02017+K02018+K02020+K02031+K02032+K02033+K02034+K02035+K02036+K02037+K02038+K02040+K02041+K02042+K02045+K02046+K02048+K02049+K02050+K02051+K02062+K02063+K02064+K02065+K02066+K02067+K02068+K02069+K02071+K02072+K02073+K02193+K02471+K05658+K05661+K05663+K05664+K05685+K05776+K05813+K05816+K05846+K05847+K06073+K06148+K06857+K09686+K09687+K09693+K09808+K09810+K09812+K09815+K09816+K09817+K09819+K09970+K09971+K09972+K09997+K09998+K09999+K10000+K10001+K10002+K10003+K10004+K10008+K10009+K10010+K10014+K10015+K10017+K10019+K10021+K10025+K10036+K10037+K10038+K10039+K10040+K10041+K10111+K10112+K10199+K10235+K10243+K10439+K10440+K10441+K10539+K10542+K10545+K10562+K11071+K11072+K11073+K11074+K11075+K11076+K11084+K11085	293	118	287	1.58
05014	"Amyotrophic lateral sclerosis (ALS)"	K00491+K03781+K04565+K08738	43	4	6	0.03
00100	"Biosynthesis of steroids"	K00021+K00099+K00795+K00919+K01662+K01823+K03526+K03527	47	8	21	0.12
01053	"Biosynthesis of siderophore group nonribosomal peptides"	K02364+K04780+K04781	29	3	18	0.10
00271	"Methionine metabolism"	K00547+K00548+K00549+K00558+K00604+K00641+K00651+K00789+K01243+K01251+K01697+K01740+K01758+K01760+K01874+K10764	38	16	95	0.52
02040	"Flagellar assembly"	K02388+K02390+K02391+K02392+K02394+K02400+K02406+K02409+K02412+K02416+K02419	54	11	16	0.09
00620	"Pyruvate metabolism"	K00016+K00029+K00101+K00102+K00128+K00156+K00161+K00162+K00163+K00170+K00171+K00172+K00382+K00625+K00626+K00627+K00656+K00873+K00925+K01006+K01007+K01069+K01571+K01610+K01649+K01663+K01759+K01895+K01959+K01960+K01961+K01962+K01963+K02160+K03737+K03777+K03778+K04072	67	38	131	0.72
00272	"Cysteine metabolism"	K00016+K00640+K00812+K01011+K01738+K01740+K01752+K01758+K01760+K01883+K10150	21	11	51	0.28
00564	"Glycerophospholipid metabolism"	K00057+K00111+K00901+K00981+K00995+K00998+K01004+K01096+K01115+K01126+K01613+K05939+K06131+K06132	59	14	30	0.16
03440	"Homologous recombination"	K01159+K02335+K03111+K03550+K03551+K03553+K03581+K03582+K03583+K03584+K03629+K03655+K04066+K06187+K07462	46	15	87	0.48
00053	"Ascorbate and aldarate metabolism"	K00012+K00128+K01630+K01706+K01708+K03077	24	6	78	0.43
02060	"Phosphotransferase system (PTS)"	K02744+K02749+K02750+K02752+K02753+K02755+K02756+K02757+K02759+K02760+K02761+K02763+K02764+K02765+K02768+K02769+K02770+K02771+K02773+K02774+K02777+K02778+K02779+K02781+K02782+K02783+K02786+K02787+K02788+K02790+K02791+K02793+K02794+K02795+K02796+K02798+K02799+K02800+K02802+K02803+K02804+K02806+K02808+K02809+K02810+K02812+K02813+K02817+K02818+K02819+K02821+K02822+K03475+K08483+K08484+K11183+K11191+K11192+K11194+K11198+K11199+K11200	98	62	67	0.37
00530	"Aminosugars metabolism"	K00075+K00326+K00698+K00790+K00820+K00972+K01183+K01207+K01443+K02472+K02474+K03431+K04042+K07106+K11528	38	15	67	0.37
00908	"Zeatin biosynthesis"	K00791	4	1	2	0.01
