#Enzyme_id	Name	Count	Count_pct
6.3.2.10	"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase."	2	0.01
2.5.1.61	"Hydroxymethylbilane synthase."	5	0.03
2.3.3.13	"2-isopropylmalate synthase."	2	0.01
2.5.1.47	"Cysteine synthase."	4	0.02
1.1.1.40	"Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))."	5	0.03
1.14.13.-	"With NADH or NADPH as one donor, and incorporation of one atom of oxygen."	5	0.03
1.1.1.11	"D-arabinitol 4-dehydrogenase."	2	0.01
1.1.1.36	"Acetoacetyl-CoA reductase."	1	0.01
3.2.1.86	"6-phospho-beta-glucosidase."	12	0.07
3.1.11.6	"Exodeoxyribonuclease VII."	7	0.04
2.4.2.6	"Nucleoside deoxyribosyltransferase."	4	0.02
2.7.4.3	"Adenylate kinase."	1	0.01
2.3.1.267	"[Ribosomal protein S5]-alanine N-acetyltransferase."	1	0.01
2.7.7.89	"[Glutamine synthetase]-adenylyl-L-tyrosine phosphorylase."	14	0.08
6.5.1.-	"Forming phosphoric ester bonds."	1	0.01
3.2.2.27	"Uracil-DNA glycosylase."	1	0.01
1.21.98.4	"PqqA peptide cyclase."	2	0.01
3.1.11.-	"Exodeoxyribonucleases producing 5'-phosphomonoesters."	12	0.07
2.4.2.-	"Pentosyltransferases."	5	0.03
2.2.1.7	"1-deoxy-D-xylulose-5-phosphate synthase."	7	0.04
5.6.2.3	""	21	0.12
3.4.23.43	"Prepilin peptidase."	1	0.01
1.1.99.40	"(R)-2-hydroxyglutarate--pyruvate transhydrogenase."	1	0.01
1.2.1.22	"Lactaldehyde dehydrogenase."	2	0.01
6.1.1.16	"Cysteine--tRNA ligase."	8	0.04
1.4.3.-	"With oxygen as acceptor."	1	0.01
4.2.1.1	"Carbonic anhydrase."	4	0.02
3.6.5.n1	"Elongation factor 4."	13	0.07
6.1.1.10	"Methionine--tRNA ligase."	8	0.04
2.8.3.13	"Succinate--hydroxymethylglutarate CoA-transferase."	1	0.01
1.8.1.4	"Dihydrolipoyl dehydrogenase."	8	0.04
6.3.5.3	"Phosphoribosylformylglycinamidine synthase."	9	0.05
2.7.1.23	"NAD(+) kinase."	4	0.02
2.7.7.85	"Diadenylate cyclase."	2	0.01
4.2.1.153	"3-methylfumaryl-CoA hydratase."	2	0.01
6.1.1.17	"Glutamate--tRNA ligase."	2	0.01
2.7.7.42	"[Glutamine synthetase] adenylyltransferase."	14	0.08
3.6.1.25	"Triphosphatase."	1	0.01
1.1.99.39	"D-2-hydroxyglutarate dehydrogenase."	2	0.01
3.1.3.11	"Fructose-bisphosphatase."	2	0.01
3.6.3.-	"Acting on acid anhydrides; catalyzing transmembrane movement of substances."	44	0.24
2.4.2.18	"Anthranilate phosphoribosyltransferase."	3	0.02
1.3.5.4	"Fumarate reductase (quinol)."	2	0.01
1.14.13.149	"Phenylacetyl-CoA 1,2-epoxidase."	2	0.01
2.7.7.38	"3-deoxy-manno-octulosonate cytidylyltransferase."	2	0.01
4.3.2.10	"Imidazole glycerol-phosphate synthase."	7	0.04
3.2.1.26	"Beta-fructofuranosidase."	4	0.02
1.7.2.3	"Trimethylamine-N-oxide reductase."	3	0.02
2.3.1.18	"Galactoside O-acetyltransferase."	1	0.01
1.6.99.3	"NADH dehydrogenase."	1	0.01
3.1.3.16	"Protein-serine/threonine phosphatase."	2	0.01
3.1.4.14	"[Acyl-carrier-protein] phosphodiesterase."	1	0.01
4.1.99.12	"3,4-dihydroxy-2-butanone-4-phosphate synthase."	1	0.01
3.6.1.23	"dUTP diphosphatase."	4	0.02
2.1.1.131	"Precorrin-3B C(17)-methyltransferase."	3	0.02
2.6.1.57	"Aromatic-amino-acid transaminase."	1	0.01
3.4.21.89	"Signal peptidase I."	2	0.01
5.3.1.16	"1-(5-phosphoribosyl)-5-"	3	0.02
2.7.1.207	"Protein-N(pi)-phosphohistidine--lactose phosphotransferase."	1	0.01
4.2.1.19	"Imidazoleglycerol-phosphate dehydratase."	3	0.02
2.3.3.16	"Citrate synthase (unknown stereospecificity)."	2	0.01
2.1.1.298	"Ribosomal protein L3 N(5)-glutamine methyltransferase."	1	0.01
2.6.1.-	"Transaminases."	3	0.02
3.6.1.11	"Exopolyphosphatase."	2	0.01
1.1.1.58	"Tagaturonate reductase."	1	0.01
4.1.3.6	"Citrate (pro-3S)-lyase."	5	0.03
6.1.1.23	"Aspartate--tRNA(Asn) ligase."	3	0.02
6.4.1.1	"Pyruvate carboxylase."	1	0.01
2.1.1.342	"Anaerobilin synthase."	2	0.01
1.3.1.98	"UDP-N-acetylmuramate dehydrogenase."	4	0.02
5.4.99.23	"23S rRNA pseudouridine(1911/1915/1917) synthase."	2	0.01
2.7.2.8	"Acetylglutamate kinase."	2	0.01
2.5.1.141	"Heme o synthase."	5	0.03
1.8.1.9	"Thioredoxin-disulfide reductase."	3	0.02
5.4.2.2	"Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)."	7	0.04
3.1.26.4	"Ribonuclease H."	6	0.03
2.1.1.173	"23S rRNA (guanine(2445)-N(2))-methyltransferase."	1	0.01
2.3.1.41	"Beta-ketoacyl-[acyl-carrier-protein] synthase I."	4	0.02
1.2.1.10	"Acetaldehyde dehydrogenase (acetylating)."	2	0.01
6.3.4.21	"Nicotinate phosphoribosyltransferase."	4	0.02
6.1.1.18	"Glutamine--tRNA ligase."	1	0.01
4.2.1.59	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase."	1	0.01
3.5.1.87	"N-carbamoyl-L-amino-acid hydrolase."	2	0.01
3.1.21.7	"Deoxyribonuclease V."	2	0.01
2.7.1.24	"Dephospho-CoA kinase."	3	0.02
2.7.1.45	"2-dehydro-3-deoxygluconokinase."	1	0.01
2.7.1.198	"Protein-N(pi)-phosphohistidine--D-sorbitol phosphotransferase."	1	0.01
2.7.7.13	"Mannose-1-phosphate guanylyltransferase."	3	0.02
1.17.4.2	"Ribonucleoside-triphosphate reductase (thioredoxin)."	1	0.01
1.1.1.23	"Histidinol dehydrogenase."	3	0.02
3.5.1.108	"UDP-3-O-acyl-N-acetylglucosamine deacetylase."	5	0.03
2.5.1.75	"tRNA dimethylallyltransferase."	2	0.01
4.3.1.19	"Threonine ammonia-lyase."	8	0.04
6.3.1.-	"Acid--ammonia (or amine) ligases (amide synthases)."	2	0.01
2.8.4.3	"tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase."	2	0.01
3.1.21.3	"Type I site-specific deoxyribonuclease."	3	0.02
2.7.9.2	"Pyruvate, water dikinase."	1	0.01
4.6.1.17	"Cyclic pyranopterin monophosphate synthase."	2	0.01
1.1.99.3	"Gluconate 2-dehydrogenase (acceptor)."	9	0.05
2.4.2.14	"Amidophosphoribosyltransferase."	6	0.03
3.4.22.-	"Cysteine endopeptidases."	2	0.01
7.1.1.-	"Hydron translocation or charge separation linked to oxidoreductase reactions."	21	0.12
1.5.5.2	"Proline dehydrogenase."	4	0.02
2.7.8.13	"Phospho-N-acetylmuramoyl-pentapeptide-transferase."	5	0.03
2.1.2.1	"Glycine hydroxymethyltransferase."	2	0.01
1.2.4.1	"Pyruvate dehydrogenase (acetyl-transferring)."	2	0.01
2.5.1.7	"UDP-N-acetylglucosamine 1-carboxyvinyltransferase."	3	0.02
1.3.99.-	"With other acceptors."	2	0.01
5.4.99.22	"23S rRNA pseudouridine(2605) synthase."	2	0.01
6.2.1.-	"Acid--thiol ligases."	1	0.01
3.1.1.-	"Carboxylic ester hydrolases."	2	0.01
2.3.1.234	"N(6)-L-threonylcarbamoyladenine synthase."	4	0.02
1.1.1.195	"Cinnamyl-alcohol dehydrogenase."	1	0.01
2.8.1.8	"Lipoyl synthase."	4	0.02
1.1.1.271	"GDP-L-fucose synthase."	1	0.01
2.1.2.11	"3-methyl-2-oxobutanoate hydroxymethyltransferase."	4	0.02
2.1.2.9	"Methionyl-tRNA formyltransferase."	3	0.02
3.5.1.19	"Nicotinamidase."	1	0.01
2.7.3.9	"Phosphoenolpyruvate--protein phosphotransferase."	5	0.03
2.7.1.5	"Rhamnulokinase."	1	0.01
6.4.1.2	"Acetyl-CoA carboxylase."	1	0.01
3.1.3.105	"N-acetyl-D-muramate 6-phosphate phosphatase."	1	0.01
3.6.1.66	"XTP/dITP diphosphatase."	2	0.01
2.10.1.1	"Molybdopterin molybdotransferase."	1	0.01
6.2.1.32	"Anthranilate--CoA ligase."	1	0.01
2.4.2.10	"Orotate phosphoribosyltransferase."	1	0.01
1.1.1.42	"Isocitrate dehydrogenase (NADP(+))."	2	0.01
4.2.-.-	"Carbon-oxygen lyases."	1	0.01
1.2.1.38	"N-acetyl-gamma-glutamyl-phosphate reductase."	3	0.02
3.1.4.58	"RNA 2',3'-cyclic 3'-phosphodiesterase."	1	0.01
2.6.1.9	"Histidinol-phosphate transaminase."	2	0.01
2.6.1.113	"Putrescine--pyruvate transaminase."	1	0.01
3.4.21.83	"Oligopeptidase B."	3	0.02
2.6.1.62	"Adenosylmethionine--8-amino-7-oxononanoate transaminase."	1	0.01
5.4.2.7	"Phosphopentomutase."	3	0.02
6.3.4.4	"Adenylosuccinate synthase."	3	0.02
2.7.1.107	"Diacylglycerol kinase (ATP)."	1	0.01
4.1.1.21	"Phosphoribosylaminoimidazole carboxylase."	2	0.01
1.8.4.12	"Peptide-methionine (R)-S-oxide reductase."	5	0.03
6.1.1.7	"Alanine--tRNA ligase."	6	0.03
2.7.1.202	"Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase."	11	0.06
1.5.1.49	"1-pyrroline-2-carboxylate reductase (NAD(P)H)."	1	0.01
2.7.6.5	"GTP diphosphokinase."	12	0.07
1.1.1.1	"Alcohol dehydrogenase."	9	0.05
3.1.21.5	"Type III site-specific deoxyribonuclease."	2	0.01
3.1.2.6	"Hydroxyacylglutathione hydrolase."	8	0.04
2.1.1.79	"Cyclopropane-fatty-acyl-phospholipid synthase."	2	0.01
3.1.13.5	"Ribonuclease D."	3	0.02
3.4.21.105	"Rhomboid protease."	1	0.01
2.1.1.34	"tRNA (guanosine(18)-2'-O)-methyltransferase."	1	0.01
1.1.1.57	"Fructuronate reductase."	1	0.01
2.1.1.297	"Peptide chain release factor N(5)-glutamine methyltransferase."	3	0.02
3.1.21.-	"Endodeoxyribonucleases producing 5'-phosphomonoesters."	11	0.06
5.4.2.-	"Phosphotransferases (phosphomutases)."	1	0.01
2.7.1.71	"Shikimate kinase."	2	0.01
3.2.1.37	"Xylan 1,4-beta-xylosidase."	3	0.02
2.1.1.77	"Protein-L-isoaspartate(D-aspartate) O-methyltransferase."	2	0.01
6.5.1.2	"DNA ligase (NAD(+))."	10	0.05
1.2.1.41	"Glutamate-5-semialdehyde dehydrogenase."	6	0.03
1.8.1.7	"Glutathione-disulfide reductase."	4	0.02
2.8.3.5	"3-oxoacid CoA-transferase."	2	0.01
1.1.1.218	"Morphine 6-dehydrogenase."	1	0.01
4.2.2.-	"Acting on polysaccharides."	3	0.02
2.1.1.185	"23S rRNA (guanosine(2251)-2'-O)-methyltransferase."	4	0.02
4.4.1.13	"Cysteine-S-conjugate beta-lyase."	3	0.02
2.3.2.29	"Aspartate/glutamate leucyltransferase."	3	0.02
3.5.1.28	"N-acetylmuramoyl-L-alanine amidase."	15	0.08
1.6.5.5	"NADPH:quinone reductase."	1	0.01
1.1.5.5	"Alcohol dehydrogenase (quinone)."	1	0.01
2.7.1.208	"Protein-N(pi)-phosphohistidine--maltose phosphotransferase."	1	0.01
2.7.1.167	"D-glycero-beta-D-manno-heptose-7-phosphate kinase."	3	0.02
3.1.26.12	"Ribonuclease E."	2	0.01
3.6.3.42	"Transferred entry: 7.5.2.3."	1	0.01
3.4.21.-	"Serine endopeptidases."	6	0.03
3.1.4.-	"Phosphoric diester hydrolases."	16	0.09
5.4.2.11	"Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)."	4	0.02
3.6.4.12	"DNA helicase."	34	0.19
3.4.21.102	"C-terminal processing peptidase."	2	0.01
1.2.1.88	"L-glutamate gamma-semialdehyde dehydrogenase."	4	0.02
3.6.3.3	"Cadmium-exporting ATPase."	8	0.04
2.4.1.182	"Lipid-A-disaccharide synthase."	2	0.01
2.3.1.39	"[Acyl-carrier-protein] S-malonyltransferase."	1	0.01
1.1.1.39	"Malate dehydrogenase (decarboxylating)."	3	0.02
1.16.3.1	"Ferroxidase."	1	0.01
2.3.1.274	"Phosphate acyltransferase."	3	0.02
2.7.1.217	"3-dehydrotetronate 4-kinase."	3	0.02
1.10.2.2	"Transferred entry: 7.1.1.8."	2	0.01
1.1.1.86	"Ketol-acid reductoisomerase (NADP(+))."	4	0.02
2.8.3.6	"3-oxoadipate CoA-transferase."	2	0.01
1.16.-.-	"Oxidizing metal ions."	2	0.01
5.1.1.7	"Diaminopimelate epimerase."	1	0.01
1.14.12.17	"Nitric oxide dioxygenase."	6	0.03
2.1.1.63	"Methylated-DNA--[protein]-cysteine S-methyltransferase."	1	0.01
2.7.6.1	"Ribose-phosphate diphosphokinase."	2	0.01
5.1.1.1	"Alanine racemase."	3	0.02
4.1.2.-	"Aldehyde-lyases."	1	0.01
2.1.1.192	"23S rRNA (adenine(2503)-C(2))-methyltransferase."	4	0.02
2.7.1.69	"Transferred entry: 2.7.1.191, 2.7.1.192, 2.7.1.193, 2.7.1.194, 2.7.1.195,"	6	0.03
1.2.1.70	"Glutamyl-tRNA reductase."	3	0.02
2.4.2.53	"Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase."	1	0.01
1.13.11.5	"Homogentisate 1,2-dioxygenase."	1	0.01
3.1.3.10	"Glucose-1-phosphatase."	1	0.01
3.1.1.93	"Mycophenolic acid acyl-glucuronide esterase."	2	0.01
1.14.13.114	"6-hydroxynicotinate 3-monooxygenase."	1	0.01
2.7.1.17	"Xylulokinase."	1	0.01
3.6.3.14	"Transferred entry: 7.1.2.2."	4	0.02
2.1.1.208	"23S rRNA (uridine(2479)-2'-O)-methyltransferase."	1	0.01
1.2.1.83	"3-succinoylsemialdehyde-pyridine dehydrogenase."	1	0.01
2.4.2.1	"Purine-nucleoside phosphorylase."	2	0.01
1.2.1.26	"2,5-dioxovalerate dehydrogenase."	2	0.01
1.17.99.6	"Epoxyqueuosine reductase."	4	0.02
7.3.2.5	"ABC-type molybdate transporter."	2	0.01
2.1.1.320	"Type II protein arginine methyltransferase."	1	0.01
3.5.1.16	"Acetylornithine deacetylase."	2	0.01
3.2.2.-	"Hydrolyzing N-glycosyl compounds."	1	0.01
2.7.7.59	"[Protein-PII] uridylyltransferase."	13	0.07
6.3.2.8	"UDP-N-acetylmuramate--L-alanine ligase."	7	0.04
2.4.99.12	"Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase."	1	0.01
2.4.1.255	"Protein O-GlcNAc transferase."	1	0.01
2.4.2.21	"Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase."	1	0.01
7.5.2.7	"ABC-type D-ribose transporter."	3	0.02
2.7.8.8	"CDP-diacylglycerol--serine O-phosphatidyltransferase."	3	0.02
2.6.1.1	"Aspartate transaminase."	11	0.06
6.3.5.10	"Adenosylcobyric acid synthase (glutamine-hydrolyzing)."	1	0.01
7.4.2.5	"Bacterial ABC-type protein transporter."	1	0.01
3.6.1.45	"UDP-sugar diphosphatase."	3	0.02
1.1.1.205	"IMP dehydrogenase."	4	0.02
2.1.1.228	"tRNA (guanine(37)-N(1))-methyltransferase."	4	0.02
4.3.2.3	"Ureidoglycolate lyase."	1	0.01
2.8.3.-	"CoA-transferases."	4	0.02
1.7.5.1	"Nitrate reductase (quinone)."	11	0.06
3.4.19.-	"Omega peptidases."	1	0.01
4.1.1.23	"Orotidine-5'-phosphate decarboxylase."	2	0.01
2.8.1.6	"Biotin synthase."	4	0.02
7.2.2.-	"Linked to the hydrolysis of a nucleoside triphosphate."	8	0.04
4.4.1.11	"Methionine gamma-lyase."	1	0.01
2.3.1.179	"Beta-ketoacyl-[acyl-carrier-protein] synthase II."	4	0.02
5.3.1.8	"Mannose-6-phosphate isomerase."	4	0.02
4.1.1.36	"Phosphopantothenoylcysteine decarboxylase."	3	0.02
1.1.98.6	"Ribonucleoside-triphosphate reductase (formate)."	1	0.01
1.8.4.-	"With a disulfide as acceptor."	3	0.02
6.3.2.45	"UDP-N-acetylmuramate L-alanyl-gamma-D-glutamyl-meso-2,6-"	1	0.01
3.1.22.-	"Endodeoxyribonucleases producing other than 5'-phosphomonoesters."	3	0.02
1.3.1.-	"With NAD(+) or NADP(+) as acceptor."	14	0.08
2.5.1.39	"4-hydroxybenzoate polyprenyltransferase."	1	0.01
1.13.11.79	"5,6-dimethylbenzimidazole synthase."	2	0.01
2.7.2.1	"Acetate kinase."	4	0.02
4.1.2.19	"Rhamnulose-1-phosphate aldolase."	2	0.01
6.3.1.10	"Adenosylcobinamide-phosphate synthase."	1	0.01
1.3.99.16	"Isoquinoline 1-oxidoreductase."	1	0.01
6.3.1.5	"NAD(+) synthase."	1	0.01
3.6.5.-	"Acting on GTP; involved in cellular and subcellular movement."	3	0.02
6.1.1.11	"Serine--tRNA ligase."	3	0.02
1.13.12.-	"With incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)."	6	0.03
3.6.1.41	"Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)."	1	0.01
4.99.1.4	"Sirohydrochlorin ferrochelatase."	2	0.01
2.7.7.18	"Nicotinate-nucleotide adenylyltransferase."	2	0.01
1.14.14.-	"With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen."	1	0.01
2.1.1.-	"Methyltransferases."	26	0.14
2.3.1.28	"Chloramphenicol O-acetyltransferase."	3	0.02
4.4.1.5	"Lactoylglutathione lyase."	1	0.01
4.1.2.4	"Deoxyribose-phosphate aldolase."	1	0.01
2.1.1.189	"23S rRNA (uracil(747)-C(5))-methyltransferase."	1	0.01
3.5.4.10	"IMP cyclohydrolase."	5	0.03
2.7.7.87	"L-threonylcarbamoyladenylate synthase."	5	0.03
1.6.1.1	"NAD(P)(+) transhydrogenase (Si-specific)."	1	0.01
2.6.99.2	"Pyridoxine 5'-phosphate synthase."	1	0.01
3.1.3.27	"Phosphatidylglycerophosphatase."	1	0.01
2.7.9.1	"Pyruvate, phosphate dikinase."	3	0.02
4.2.1.136	"ADP-dependent NAD(P)H-hydrate dehydratase."	4	0.02
1.3.1.42	"12-oxophytodienoate reductase."	1	0.01
4.2.3.5	"Chorismate synthase."	4	0.02
1.5.5.1	"Electron-transferring-flavoprotein dehydrogenase."	7	0.04
2.7.1.170	"Anhydro-N-acetylmuramic acid kinase."	1	0.01
2.7.1.33	"Pantothenate kinase."	1	0.01
2.8.4.4	"[Ribosomal protein S12] (aspartate(89)-C(3))-methylthiotransferase."	3	0.02
2.7.99.-	"Other protein kinases."	2	0.01
3.4.24.55	"Pitrilysin."	3	0.02
2.1.2.-	"Hydroxymethyl-, formyl- and related transferases."	1	0.01
1.1.1.133	"dTDP-4-dehydrorhamnose reductase."	4	0.02
1.11.1.5	"Cytochrome-c peroxidase."	1	0.01
7.3.2.2	"ABC-type phosphonate transporter."	1	0.01
5.3.1.4	"L-arabinose isomerase."	3	0.02
3.1.26.3	"Ribonuclease III."	2	0.01
6.2.1.22	"[Citrate (pro-3S)-lyase] ligase."	2	0.01
1.8.1.14	"CoA-disulfide reductase."	1	0.01
3.1.7.2	"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase."	5	0.03
5.1.3.12	"UDP-glucuronate 5'-epimerase."	2	0.01
6.2.1.1	"Acetate--CoA ligase."	2	0.01
2.3.1.180	"Beta-ketoacyl-[acyl-carrier-protein] synthase III."	2	0.01
2.5.1.89	"Tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-"	1	0.01
2.8.1.-	"Sulfurtransferases."	2	0.01
2.7.7.8	"Polyribonucleotide nucleotidyltransferase."	5	0.03
5.3.1.35	"2-dehydrotetronate isomerase."	1	0.01
3.4.14.-	"Dipeptidyl-peptidases and tripeptidyl-peptidases."	1	0.01
5.3.1.17	"5-dehydro-4-deoxy-D-glucuronate isomerase."	1	0.01
6.3.2.-	"Acid--amino-acid ligases (peptide synthases)."	1	0.01
2.1.1.72	"Site-specific DNA-methyltransferase (adenine-specific)."	25	0.14
4.2.1.33	"3-isopropylmalate dehydratase."	3	0.02
3.4.21.107	"Peptidase Do."	9	0.05
1.2.1.-	"With NAD(+) or NADP(+) as acceptor."	5	0.03
2.8.1.12	"Molybdopterin synthase."	1	0.01
3.4.11.9	"Xaa-Pro aminopeptidase."	8	0.04
3.6.1.13	"ADP-ribose diphosphatase."	1	0.01
4.2.1.42	"Galactarate dehydratase."	3	0.02
1.3.1.43	"Arogenate dehydrogenase."	1	0.01
4.2.1.-	"Hydro-lyases."	2	0.01
4.1.3.27	"Anthranilate synthase."	7	0.04
1.17.7.4	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase."	3	0.02
3.4.21.88	"Repressor LexA."	16	0.09
3.4.24.-	"Metalloendopeptidases."	15	0.08
1.16.1.7	"Ferric-chelate reductase (NADH)."	1	0.01
1.1.5.3	"Glycerol-3-phosphate dehydrogenase."	1	0.01
1.3.99.22	"Transferred entry: 1.3.98.3."	1	0.01
1.1.1.304	"Diacetyl reductase ((S)-acetoin forming)."	1	0.01
2.3.1.181	"Lipoyl(octanoyl) transferase."	2	0.01
2.7.1.83	"Pseudouridine kinase."	1	0.01
2.4.2.9	"Uracil phosphoribosyltransferase."	5	0.03
1.6.99.-	"With other acceptors."	1	0.01
1.1.2.4	"D-lactate dehydrogenase (cytochrome)."	2	0.01
5.4.99.5	"Chorismate mutase."	2	0.01
1.1.1.9	"D-xylulose reductase."	1	0.01
6.3.2.26	"N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase."	4	0.02
2.7.1.121	"Phosphoenolpyruvate--glycerone phosphotransferase."	3	0.02
3.5.1.32	"Hippurate hydrolase."	7	0.04
2.3.1.46	"Homoserine O-succinyltransferase."	1	0.01
2.7.1.219	"D-threonate 4-kinase."	1	0.01
3.1.3.18	"Phosphoglycolate phosphatase."	1	0.01
4.2.1.20	"Tryptophan synthase."	6	0.03
2.4.2.29	"tRNA-guanine(34) transglycosylase."	5	0.03
1.14.99.58	"Heme oxygenase (biliverdin-IX-beta and delta-forming)."	1	0.01
2.3.3.1	"Citrate (Si)-synthase."	1	0.01
1.1.1.60	"2-hydroxy-3-oxopropionate reductase."	1	0.01
4.2.1.51	"Prephenate dehydratase."	5	0.03
4.1.1.49	"Phosphoenolpyruvate carboxykinase (ATP)."	3	0.02
4.2.1.12	"Phosphogluconate dehydratase."	2	0.01
2.1.1.144	"Trans-aconitate 2-methyltransferase."	2	0.01
2.8.1.1	"Thiosulfate sulfurtransferase."	3	0.02
6.1.1.9	"Valine--tRNA ligase."	10	0.05
1.5.1.25	"Thiomorpholine-carboxylate dehydrogenase."	2	0.01
1.2.5.1	"Pyruvate dehydrogenase (quinone)."	1	0.01
4.1.1.59	"Gallate decarboxylase."	3	0.02
2.7.1.30	"Glycerol kinase."	6	0.03
2.7.-.-	"Transferring phosphorus-containing groups."	11	0.06
1.1.1.17	"Mannitol-1-phosphate 5-dehydrogenase."	1	0.01
2.3.1.54	"Formate C-acetyltransferase."	1	0.01
1.1.1.141	"15-hydroxyprostaglandin dehydrogenase (NAD(+))."	1	0.01
2.8.1.13	"tRNA-uridine 2-sulfurtransferase."	10	0.05
4.3.2.2	"Adenylosuccinate lyase."	3	0.02
2.5.1.145	"Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase."	2	0.01
2.3.1.47	"8-amino-7-oxononanoate synthase."	1	0.01
6.1.1.19	"Arginine--tRNA ligase."	2	0.01
2.7.7.60	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase."	2	0.01
2.7.1.35	"Pyridoxal kinase."	1	0.01
2.1.1.45	"Thymidylate synthase."	3	0.02
5.4.99.25	"tRNA pseudouridine(55) synthase."	3	0.02
2.7.7.56	"tRNA nucleotidyltransferase."	1	0.01
1.5.1.3	"Dihydrofolate reductase."	2	0.01
2.1.2.3	"Phosphoribosylaminoimidazolecarboxamide formyltransferase."	5	0.03
2.1.1.74	"Methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase"	6	0.03
